00:00:00$00:00:55$01:04:05$00:00:55$1$0$52,43$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:00:58$01:04:02$00:00:58$1$0$52,47$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:00$01:04:00$00:01:00$1$0$52,49$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:00$01:04:00$00:01:00$1$0$52,49$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:00$01:04:00$00:01:00$1$0$52,5$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:01$01:03:59$00:01:01$1$0$52,51$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:02$01:03:58$00:01:02$1$0$52,51$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:02$01:03:58$00:01:02$1$0$52,52$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:02$01:03:58$00:01:02$1$0$52,52$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:03$01:03:57$00:01:03$1$0$52,53$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:03$01:03:57$00:01:03$1$0$52,54$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:03$01:03:57$00:01:03$1$0$52,54$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:04$01:03:56$00:01:04$1$0$52,55$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:04$01:03:56$00:01:04$1$0$52,55$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:05$01:03:55$00:01:05$1$0$52,56$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:06$01:03:54$00:01:06$1$0$52,57$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:06$01:03:54$00:01:06$1$0$52,58$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:10$01:03:50$00:01:10$1$0$52,63$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:13$01:03:47$00:01:13$1$0$52,67$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:13$01:03:47$00:01:13$1$0$52,67$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
00:00:00$00:01:14$01:03:46$00:01:14$1$0$52,68$21,422504$39,826192$0$0$0$1$56000$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$0$8$0$2$0$56000$0$0$
